id,title,assignee,inventor,priority_date,creation_date,publication_date,grant_date,result_link,representative_figure_link,number_of_authors,number_of_viewers
US-2022288460-A1,Method and system for using artificial intelligence to assign patients to cohorts and dynamically controlling a treatment apparatus based on the assignment during an adaptive telemedical session ,"Rom Technologies, Inc.",Steven Mason,2019-10-03,2022-05-23,2022-09-15,,https://patents.google.com/patent/US20220288460A1/en,https://patentimages.storage.googleapis.com/e3/bf/c9/1b0250d36719d5/US20220288460A1-20220915-D00000.png,one,20100
US-11275898-B2,Search method and device based on artificial intelligence ,"Beijing Baidu Netcom Science And Technology Co., Ltd.","Yong Zhu, Xunchao Song, Ying Li, Yilin Zhang",2017-12-28,2018-10-11,2022-03-15,2022-03-15,https://patents.google.com/patent/US11275898B2/en,https://patentimages.storage.googleapis.com/dd/4c/3e/a9ac06b96b14cb/US11275898-20220315-D00000.png,one,20101
US-2022344049-A1,Decentralized artificial intelligence (ai)/machine learning training system ,Presagen Pty Ltd,"Jonathan Michael MacGillivray HALL, Donato PERUGINI, Michelle PERUGINI, Tuc Van NGUYEN, Adrian JOHNSTON",2019-09-23,2020-09-23,2022-10-27,,https://patents.google.com/patent/US20220344049A1/en,https://patentimages.storage.googleapis.com/b8/82/7f/bdf0b7973914ce/US20220344049A1-20221027-D00000.png,one,20102
US-11768893-B2,"Concept networks and systems and methods for the creation, update and use of same in artificial intelligence systems ","Realpage, Inc.","Richard Lawrence Stillwell, JR., Carter Myers Brooking, Jed Jackoway, Brandon Michael Burkett",2017-10-06,2021-05-03,2023-09-26,2023-09-26,https://patents.google.com/patent/US11768893B2/en,https://patentimages.storage.googleapis.com/58/0e/55/4f9b3d176b702d/US11768893-20230926-D00000.png,one,20103
US-11307735-B2,Creating agendas for electronic meetings using artificial intelligence ,"Ricoh Company, Ltd.","Steven A. Nelson, Hiroshi Kitada, Lana Wong",2016-10-11,2016-10-11,2022-04-19,2022-04-19,https://patents.google.com/patent/US11307735B2/en,https://patentimages.storage.googleapis.com/c4/ff/ae/f6f8e5b927e8f9/US11307735-20220419-D00000.png,one,20104
US-10860985-B2,Post-meeting processing using artificial intelligence ,"Ricoh Company, Ltd.","Steven A. Nelson, Hiroshi Kitada, Lana Wong",2016-10-11,2016-10-11,2020-12-08,2020-12-08,https://patents.google.com/patent/US10860985B2/en,https://patentimages.storage.googleapis.com/8c/82/d2/b35fca8b28e163/US10860985-20201208-D00000.png,one,20105
EP-3468140-B1,Natural language processing artificial intelligence network and data security system ,"Accenture Global Solutions Limited, Misram LLC","Constantine T. BOYADJIEV, Rajarathnam Chandramouli, Zongru SHAO, Koduvayur SUBBALAKSHMI",2017-10-05,2018-09-14,2020-10-21,2020-10-21,https://patents.google.com/patent/EP3468140B1/en,https://patentimages.storage.googleapis.com/66/95/3e/1e7faa1c9ad884/imgf0001.png,one,20106
US-11227235-B1,Universal artificial intelligence engine for autonomous computing devices and software applications ,Jasmin Cosic,Jasmin Cosic,2015-08-30,2020-02-05,2022-01-18,2022-01-18,https://patents.google.com/patent/US11227235B1/en,https://patentimages.storage.googleapis.com/4c/dc/dd/4d9a98041ce601/US11227235-20220118-D00000.png,one,20107
US-10960266-B2,System of an artificial intelligence (AI) powered wireless gym ,Samuel Messinger,Samuel Messinger,2019-05-06,2019-05-06,2021-03-30,2021-03-30,https://patents.google.com/patent/US10960266B2/en,https://patentimages.storage.googleapis.com/7e/af/ec/86f15d6e505f1a/US10960266-20210330-D00000.png,one,20108
EP-3465459-B1,Artificial intelligence-based network advisor ,"TUPL, Inc.",Pablo Tapia,2016-06-07,2017-06-07,2021-02-17,2021-02-17,https://patents.google.com/patent/EP3465459B1/en,https://patentimages.storage.googleapis.com/e4/ae/4a/5fc769bd727f5b/imgf0001.png,one,20109
US-11526614-B2,Continuous vulnerability management system for blockchain smart contract based digital asset using sandbox and artificial intelligence ,Anchain.ai Inc.,Chunsheng Victor Fang,2019-10-15,2019-10-15,2022-12-13,2022-12-13,https://patents.google.com/patent/US11526614B2/en,https://patentimages.storage.googleapis.com/76/90/d7/255c51eb8e994c/US11526614-20221213-D00000.png,one,20110
US-11621077-B2,Methods and systems for using artificial intelligence to select a compatible element ,"Kpn Innovations, Llc.",Kenneth Neumann,2019-09-30,2019-09-30,2023-04-04,2023-04-04,https://patents.google.com/patent/US11621077B2/en,https://patentimages.storage.googleapis.com/90/0f/de/3238800045882c/US11621077-20230404-D00000.png,one,20111
